TRAIN_00000,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00024,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00048,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00072,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00096,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00120,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00144,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00168,TRAIN_22199,1,1,1,1,1,1,1,1,1,1
TRAIN_00168,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00216,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00240,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22224,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22248,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22296,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22344,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22416,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22464,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22512,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22608,TRAIN_22199,1,1,1,1,1,1,1,1,1,1
TRAIN_22608,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22680,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_22704,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00264,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00288,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00312,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00336,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00360,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00384,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00408,TRAIN_22199,1,1,1,1,1,1,1,1,1,1
TRAIN_00408,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00432,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00456,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00480,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00504,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00528,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
TRAIN_00552,TRAIN_22200,1,1,1,1,1,1,1,1,1,1
